13:40:943 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\nl9qyhp2hen9u8d93ysmnimdlq\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/4a7b87d8f7abcaa11d2589a0/m/b51b1eba23ed964f4c080d60/e/d4dca888efba0110936929bd/partid/jfh/massproperties\nusemasspropertiesoverrides=true\n', signature: b'ip/Y6CMzXJgI7S2Yknx6Yjnf0gV43rvdCgA13LHRKZM=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:ip/Y6CMzXJgI7S2Yknx6Yjnf0gV43rvdCgA13LHRKZM=
13:40:943 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/4a7b87d8f7abcaa11d2589a0/m/b51b1eba23ed964f4c080d60/e/d4dca888efba0110936929bd/partid/JFD/massproperties?useMassPropertiesOverrides=True
13:40:943 | DEBUG | connect:make_nonce:124 | nonce created: M03HGZOcUVXFCJHV89DPfNG3r
13:40:943 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/4a7b87d8f7abcaa11d2589a0/m/b51b1eba23ed964f4c080d60/e/d4dca888efba0110936929bd/partid/JFD/massproperties?useMassPropertiesOverrides=True
13:40:943 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'djgKmSSOOGGZrtVppVa9WZrZC', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:LkrWpDa1cpmFlBvhGgndnUnWJrlHxhlo2UeG3HZSUes=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:943 | DEBUG | connect:request:999 | Request body: None
13:40:944 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: gripper_v14recovered_1_gripper_v14recovered_2
13:40:945 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\nm03hgzocuvxfcjhv89dpfng3r\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/4a7b87d8f7abcaa11d2589a0/m/b51b1eba23ed964f4c080d60/e/d4dca888efba0110936929bd/partid/jfl/massproperties\nusemasspropertiesoverrides=true\n', signature: b'0xvTOkgwUj+l0v1lDflByAgmN4eALDJ8kHsaKe1P9wA=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:0xvTOkgwUj+l0v1lDflByAgmN4eALDJ8kHsaKe1P9wA=
13:40:945 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/4a7b87d8f7abcaa11d2589a0/m/b51b1eba23ed964f4c080d60/e/d4dca888efba0110936929bd/partid/JFH/massproperties?useMassPropertiesOverrides=True
13:40:945 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'L9Qyhp2HeN9u8D93YsMNImDlQ', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:ip/Y6CMzXJgI7S2Yknx6Yjnf0gV43rvdCgA13LHRKZM=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:945 | DEBUG | connect:make_nonce:124 | nonce created: aKn0r1sEYrSSLXTISVFdsDK4p
13:40:946 | DEBUG | connect:request:999 | Request body: None
13:40:947 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: gripper_v14recovered_1_MGN7C_v1_4
13:40:947 | DEBUG | connect:request:1001 | Request URL: https://cad.onshape.com/api/parts/d/4a7b87d8f7abcaa11d2589a0/m/b51b1eba23ed964f4c080d60/e/d4dca888efba0110936929bd/partid/JFH/massproperties?useMassPropertiesOverrides=True
13:40:947 | DEBUG | connect:make_nonce:124 | nonce created: HWw8Tfrc9m8nmrHhkxSYLUOo3
13:40:948 | DEBUG | connect:_make_auth:1146 | query: useMassPropertiesOverrides=True, hmac_str: b'get\nakn0r1seyrsslxtisvfdsdk4p\nmon, 29 dec 2025 18:40:44 gmt\napplication/json\n/api/parts/d/4a7b87d8f7abcaa11d2589a0/m/b51b1eba23ed964f4c080d60/e/d4dca888efba0110936929bd/partid/jfl/massproperties\nusemasspropertiesoverrides=true\n', signature: b'/DRn0tWZYHaLO0EmD0m1j5yk/YKxxpHbWXYBYkGZ7b8=', auth: On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:/DRn0tWZYHaLO0EmD0m1j5yk/YKxxpHbWXYBYkGZ7b8=
13:40:948 | DEBUG | connect:request:1000 | Request headers: {'Content-Type': 'application/json', 'Date': 'Mon, 29 Dec 2025 18:40:44 GMT', 'On-Nonce': 'M03HGZOcUVXFCJHV89DPfNG3r', 'Authorization': 'On on_RFwgCkanZIQqFzJ23IfVP:HmacSHA256:0xvTOkgwUj+l0v1lDflByAgmN4eALDJ8kHsaKe1P9wA=', 'User-Agent': 'Onshape Python Sample App', 'Accept': 'application/json'}
13:40:948 | DEBUG | parse:_fetch_mass_properties:1318 | Fetching mass properties for part: gripper_v14recovered_1_MGN7C_v1_13
